Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°];Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°]
Barra 1;14,4;14,4;14,4;1,043478;1,043478;1,043478;0;-120;120;Barra 1;14,4;14,4;14,4;1,043478;1,043478;1,043478;0;-120;120
Barra 2;14,397798;14,398095;14,398273;1,043319;1,04334;1,043353;-0,003444;-120,003876;119,997303;Barra 2;14,398332;14,398631;14,398821;1,043357;1,043379;1,043393;-0,005492;-120,005974;119,995219
Barra 3;14,39621;14,396721;14,397027;1,043204;1,043241;1,043263;-0,005928;-120,006672;119,995357;Barra 3;14,39713;14,397644;14,397971;1,04327;1,043308;1,043331;-0,009455;-120,010284;119,991771
Barra 4;14,394234;14,395012;14,395478;1,04306;1,043117;1,043151;-0,009019;-120,010151;119,992937;Barra 4;14,395634;14,396416;14,396913;1,043162;1,043219;1,043255;-0,014384;-120,015646;119,987481
Barra 7;14,381705;14,384404;14,385805;1,042153;1,042348;1,04245;-0,028701;-120,032094;119,978129;Barra 7;14,386103;14,388815;14,390313;1,042471;1,042668;1,042776;-0,045556;-120,049354;119,960989
Barra 5;14,381892;14,384337;14,385798;1,042166;1,042343;1,042449;-0,028352;-120,031906;119,977801;Barra 5;14,386289;14,388747;14,390306;1,042485;1,042663;1,042776;-0,045207;-120,049166;119,960661
Barra 6;14,37779;14,380765;14,382564;1,041869;1,042084;1,042215;-0,034782;-120,039159;119,972709;Barra 6;14,383189;14,38618;14,388099;1,04226;1,042477;1,042616;-0,055476;-120,060348;119,951666
Barra 8;14,37778;14,380755;14,382555;1,041868;1,042084;1,042214;-0,034799;-120,039176;119,972692;Barra 8;14,383179;14,38617;14,38809;1,042259;1,042476;1,042615;-0,055493;-120,060365;119,951649
Barra 11;14,376742;14,379716;14,381516;1,041793;1,042008;1,042139;-0,034848;-120,039223;119,972643;Barra 11;14,382141;14,385131;14,38705;1,042184;1,042401;1,04254;-0,055542;-120,060412;119,9516
Barra 12;14,376499;14,379473;14,381273;1,041775;1,041991;1,042121;-0,035302;-120,039677;119,972189;Barra 12;14,381898;14,384888;14,386807;1,042166;1,042383;1,042522;-0,055996;-120,060866;119,951146
Barra 15;14,376375;14,37935;14,381149;1,041766;1,041982;1,042112;-0,035533;-120,039908;119,971957;Barra 15;14,381774;14,384764;14,386684;1,042158;1,042374;1,042513;-0,056227;-120,061097;119,950915
Barra 17;14,376375;14,37935;14,381149;1,041766;1,041982;1,042112;-0,035533;-120,039908;119,971957;Barra 17;14,381774;14,384764;14,386684;1,042158;1,042374;1,042513;-0,056227;-120,061097;119,950915
Barra 18;14,376375;14,37935;14,381149;1,041766;1,041982;1,042112;-0,035533;-120,039908;119,971957;Barra 18;14,381774;14,384764;14,386684;1,042158;1,042374;1,042513;-0,056227;-120,061097;119,950915
Barra 9;14,372271;14,375966;14,378224;1,041469;1,041737;1,0419;-0,043432;-120,048923;119,965876;Barra 9;14,379029;14,382744;14,385151;1,041959;1,042228;1,042402;-0,069331;-120,075441;119,939542
Barra 10;14,344622;14,351944;14,356506;1,039465;1,039996;1,040327;-0,086852;-120,097956;119,931646;Barra 10;14,358231;14,365595;14,370455;1,040452;1,040985;1,041337;-0,138993;-120,151323;119,878643
Barra 13;14,329399;14,338728;14,344562;1,038362;1,039038;1,039461;-0,110825;-120,125031;119,912781;Barra 13;14,346802;14,356186;14,362397;1,039623;1,040303;1,040753;-0,17749;-120,193251;119,845024
Barra 14;14,319106;14,329804;14,336506;1,037616;1,038392;1,038877;-0,12705;-120,143374;119,900055;Barra 14;14,339101;14,349864;14,356997;1,039065;1,039845;1,040362;-0,203638;-120,221738;119,82222
Barra 16;14,302693;14,315434;14,32366;1,036427;1,03735;1,037946;-0,146564;-120,166895;119,884741;Barra 16;14,326354;14,339165;14,347908;1,038142;1,03907;1,039703;-0,239864;-120,262309;119,78993
Barra 19;14,284536;14,299353;14,309446;1,035111;1,036185;1,036916;-0,160099;-120,185664;119,874103;Barra 19;14,311658;14,326545;14,337246;1,037077;1,038155;1,038931;-0,273026;-120,301063;119,759352
Barra 20;14,281534;14,296698;14,307103;1,034894;1,035993;1,036747;-0,162336;-120,188776;119,872351;Barra 20;14,309235;14,324468;14,335496;1,036901;1,038005;1,038804;-0,278544;-120,307515;119,754268
Barra 21;14,280179;14,295472;14,306045;1,034796;1,035904;1,03667;-0,162084;-120,189045;119,872544;Barra 21;14,308047;14,323407;14,334611;1,036815;1,037928;1,03874;-0,279948;-120,309464;119,752777
Barra 23;14,280118;14,29541;14,305984;1,034791;1,035899;1,036665;-0,162081;-120,189042;119,872547;Barra 23;14,307986;14,323345;14,334549;1,036811;1,037924;1,038735;-0,279946;-120,309461;119,75278
Barra 25;14,279738;14,295028;14,305602;1,034764;1,035872;1,036638;-0,162798;-120,189756;119,871827;Barra 25;14,307605;14,322963;14,334166;1,036783;1,037896;1,038708;-0,280662;-120,310176;119,75206
Barra 22;14,232454;14,252289;14,268867;1,031337;1,032775;1,033976;-0,153118;-120,198629;119,87939;Barra 22;14,266262;14,286109;14,303553;1,033787;1,035225;1,036489;-0,329966;-120,378887;119,699717
Barra 24;14,206219;14,228583;14,248503;1,029436;1,031057;1,0325;-0,148117;-120,204004;119,883202;Barra 24;14,243338;14,265688;14,286601;1,032126;1,033745;1,035261;-0,357939;-120,417692;119,670079
Barra 26;14,171784;14,197467;14,221774;1,026941;1,028802;1,030563;-0,141524;-120,211088;119,888221;Barra 26;14,213254;14,238893;14,264355;1,029946;1,031804;1,033649;-0,394793;-120,468795;119,63107
Barra 27;14,166622;14,192807;14,217776;1,026567;1,028464;1,030274;-0,140528;-120,212163;119,888979;Barra 27;14,20875;14,234886;14,261036;1,02962;1,031513;1,033408;-0,400374;-120,476533;119,625166
Barra 28;14,166318;14,1925;14,21747;1,026545;1,028442;1,030251;-0,141106;-120,212738;119,888397;Barra 28;14,208445;14,234579;14,260728;1,029597;1,031491;1,033386;-0,400953;-120,477108;119,624583
Barra 29;14,154848;14,182418;14,208691;1,025714;1,027711;1,029615;-0,147843;-120,223261;119,883335;Barra 29;14,199237;14,226762;14,25427;1,02893;1,030925;1,032918;-0,421475;-120,501618;119,605575
Barra 30;14,151299;14,179286;14,205952;1,025456;1,027485;1,029417;-0,150051;-120,226609;119,881632;Barra 30;14,19637;14,224314;14,252232;1,028722;1,030747;1,03277;-0,427841;-120,509185;119,599666
Barra 32;14,151013;14,178999;14,205665;1,025436;1,027464;1,029396;-0,150273;-120,226828;119,881409;Barra 32;14,196084;14,224026;14,251944;1,028702;1,030727;1,03275;-0,428063;-120,509404;119,599444
Barra 33;14,150814;14,1788;14,205466;1,025421;1,027449;1,029382;-0,150426;-120,226982;119,881256;Barra 33;14,195885;14,223828;14,251746;1,028687;1,030712;1,032735;-0,428216;-120,509557;119,599291
Barra 36;14,15081;14,178797;14,205463;1,025421;1,027449;1,029381;-0,150429;-120,226985;119,881253;Barra 36;14,195882;14,223824;14,251742;1,028687;1,030712;1,032735;-0,428219;-120,50956;119,599289
Barra 39;14,150799;14,178786;14,205452;1,02542;1,027448;1,029381;-0,150434;-120,22699;119,881248;Barra 39;14,195871;14,223813;14,251731;1,028686;1,030711;1,032734;-0,428224;-120,509565;119,599283
Barra 35;14,150734;14,178721;14,205387;1,025416;1,027444;1,029376;-0,150488;-120,227043;119,881194;Barra 35;14,195806;14,223749;14,251666;1,028682;1,030706;1,032729;-0,428277;-120,509618;119,59923
Barra 37;14,150566;14,178551;14,205216;1,025403;1,027431;1,029363;-0,150619;-120,227171;119,881061;Barra 37;14,195637;14,223578;14,251495;1,028669;1,030694;1,032717;-0,428409;-120,509746;119,599096
Barra 40;14,149903;14,177886;14,20455;1,025355;1,027383;1,029315;-0,151134;-120,227678;119,880544;Barra 40;14,194973;14,222912;14,250827;1,028621;1,030646;1,032669;-0,428923;-120,510253;119,59858
Barra 46;14,149811;14,177793;14,204457;1,025349;1,027376;1,029309;-0,151206;-120,227748;119,880472;Barra 46;14,194881;14,222819;14,250735;1,028615;1,030639;1,032662;-0,428995;-120,510323;119,598508
Barra 45;14,149726;14,177708;14,204372;1,025342;1,02737;1,029302;-0,151272;-120,227814;119,880406;Barra 45;14,194796;14,222734;14,250649;1,028608;1,030633;1,032656;-0,42906;-120,510388;119,598442
Barra 44;14,149602;14,177584;14,204248;1,025333;1,027361;1,029293;-0,151368;-120,22791;119,88031;Barra 44;14,194671;14,22261;14,250525;1,028599;1,030624;1,032647;-0,429156;-120,510484;119,598347
Barra 52;14,149596;14,177578;14,204242;1,025333;1,027361;1,029293;-0,151371;-120,227913;119,880307;Barra 52;14,194666;14,222604;14,25052;1,028599;1,030623;1,032646;-0,429159;-120,510486;119,598344
Barra 49;14,149568;14,177549;14,204213;1,025331;1,027359;1,029291;-0,151395;-120,227935;119,880282;Barra 49;14,194637;14,222574;14,250489;1,028597;1,030621;1,032644;-0,429183;-120,510509;119,598319
Barra 47;14,149498;14,17748;14,204144;1,025326;1,027354;1,029286;-0,151448;-120,22799;119,88023;Barra 47;14,194568;14,222506;14,250422;1,028592;1,030616;1,032639;-0,429236;-120,510563;119,598267
Barra 54;14,149498;14,17748;14,204144;1,025326;1,027354;1,029286;-0,151448;-120,22799;119,88023;Barra 54;14,194568;14,222506;14,250422;1,028592;1,030616;1,032639;-0,429236;-120,510563;119,598267
Barra 48;14,149176;14,177153;14,203816;1,025303;1,02733;1,029262;-0,152416;-120,228951;119,879253;Barra 48;14,194244;14,222177;14,250091;1,028568;1,030593;1,032615;-0,430205;-120,511525;119,597289
